Question,Answer
"This planet is orbited by the Akatsuki spacecraft, and it used to be orbited by NASA’s Magellan spacecraft. The Fortuna Tessera [TESS-ur-uh] is one of many locations on this planet with rough terrain, and its highest volcano is Maat [MAH-aht] Mons. This planet’s high point is Skadi Mons in Maxwell Montes [MON-tays], which is in Ishtar Terra. This planet has a retrograde rotation, and one of its days is 243 Earth days. It is diﬀicult to see the surface of this planet because of its sulfuric acid clouds. This planet is the larger of the two with no known moons. Name this planet that is the second from the Sun.",Venus
"One play by this writer begins with the old Jewish woman Emilia Merz celebrating Christmas with her family in 1899. That play by this author ends in 1955 after many family members have died in the Holocaust. Before writing Leopoldstadt, this person wrote a play in which one of the characters wrote the poems “The Maid of Turkey” and “The Couch of Eros”. In that play by this writer, Thomasina Coverly is tutored by Septimus Hodge. In another play by this writer, a coin repeatedly lands heads-up. That play by this author features characters from Shakespeare’s Hamlet. Name this playwright of Arcadia and Rosencrantz and Guildenstern Are Dead.",Tom Stoppard [or Tomás Sträussler]
"Dan Herbeck and Lou Michel [muh-SHEL] wrote a biography of this person. Lori Fortier [FOR-tee-ay] helped this person get a fake driver’s license, and Fortier’s husband Michael testified against this person and his accomplice. This person’s best known action took place on the second anniversary of the Branch Davidian [duh-VID-ee-un] fire that killed 76 people in Waco [WAY-koh], Texas. When he was killed, this person was the first federal prisoner executed in 38 years. This person destroyed the Murrah Federal Building, killing 168 people, in 1995. Name this person who set off that bomb in 1995.",Timothy (James) McVeigh
"In 1892, this artist was commissioned to paint a series of pictures for a brothel and made several paintings of the prostitutes during quiet moments, such as Le Lit [lee], which is also called The Bed. A lithograph by this artist shows Yvette Guilbert [geel-bair] performing for an audience that includes Jane Avril at the title location, which is Divan Japonais [zhah-poh-nay]. In another painting by this artist, the lit-up face of May Milton is shown on the right, and the middle of the picture shows people sitting at a table at a cabaret. Name this French painter who made many posters showing dancers and cabarets, including At the Moulin Rouge [moo-lan roozh].",Henri de Toulouse-Lautrec [awn-ree duh too-loos loh-trek]
"For Muslims, this ritual includes a recitation of the Salat al-Janazah. This ritual is called Antyesti [ahnt-YESS-tee] by Hindus, and it involves the placement of pindas, which are rice balls. Instead of this ritual, Zoroastrians use a dokhma [DOHK-muh], which is sometimes called a Tower of Silence in English. Just before this ritual begins, Jews pin torn ribbons to their clothes or tear some of their clothes, and after this ritual, Jews gather in a house to observe shiva [SHIV-uh]. Name this ritual that often follows a wake and begins a period of mourning.",funeral [accept burial or cremation or memorial service]
"The uncinate [UN-sin-“ate”] process is a part of this organ that hooks around the superior mesenteric [meh-zen-TAIR-ik] artery. Some of the cells from this organ are called acinar [ASS-in-ur] cells because they look like grapes. This organ’s so-called “juice” contains trypsinogen [trip-SIN-oh-jen] and several enzymes. The duct of Wirsung [VEER-zoong], which is sometimes named for this organ, connects it to the bile duct and through the major duodenal papilla [doo-oh-DEE-nul puh-PILL-uh] to the small intestine. Like the stomach and intestines, this organ has delta cells that secrete somatostatin [soh-MAT-oh-STAT-in]. Name this organ that secretes glucagon and insulin from its islets [“EYE”-lets] of Langerhans.",pancreas
"In this novel, Pierre requests peasant clothes and a pistol so he can attempt an assassination. In this novel, Pierre also fights a duel when he suspects his wife Hélène [eh-len] of being unfaithful, and he leaves her for a woman who had broken off her engagement to Prince Andrei. This novel describes the marriage of Pierre Bezukhov to Natasha Rostova, who had been loved by Andrew Bolkonski. The wedding occurs in this novel after Pierre became a war prisoner, ending his assassination plan against Napoleon. Name this novel by Leo Tolstoy about the French invasion of Russia.",War and Peace [or Voyna ee mir]
"Though it was used to observe neutrinos [noo-TREE-nohz], the Irvine–Michigan–Brookhaven detector was built to observe the decay of these particles, but the decay of these particles into lighter particles has never been observed despite further efforts by the Super-K experiment. These particles consist of one down and two up quarks. Along with an electron and an anti-neutrino, these particles are created from beta-minus decay. When a nucleus has excess binding energy, these particles can decay into a neutron, positron, and electron neutrino. The atomic number of an element is the number of these particles in an atom. Name these positively charged particles in atomic nuclei.",protons
"In 2011, Yemen’s Tawakkol Karman [TAH-wahk-kawl KAR-mun] shared a Nobel Peace Prize with two women from this country. One of those women was Leymah Gbowee [LAY-muh BOH-ee], who helped end this country’s civil war in 2003. The other woman from this country, who in 2006 became the first elected female head of state in Africa, was Ellen Johnson Sirleaf. Sirleaf has been succeeded by a soccer star from this country, George Weah [WEE-uh]. This country had even more deaths than its neighbors Guinea and Sierra Leone [lee-OHN] during the Ebola virus epidemic that ended in 2016. Name this country that started out as a project of the American Colonization Society, which is why its capital is named Monrovia.",(Republic of) Liberia
"In one novel by this author, Vernon Roscoe gets caught up in the Teapot Dome scandal. That novel, which was one of several novels by this author about the energy industry, was Oil!. This author wrote a series of novels about Irma Barnes’s husband, who gets captured by the Nazis in the novel Dragon’s Teeth, and who is named Lanny Budd. Another novel by this author states “Nobody rose in Packingtown by doing good work.” In that novel, this author depicted immigrants to Chicago from Lithuania, including a protagonist who works in the meatpacking industry. Name this author of The Jungle.",Upton (Beall) Sinclair (Jr.)
"This number can be found using the Gregory–Leibniz [LYB-nits] series with all the numerators equal to 4. This number equals twice the length divided by the quantity “probability times strip length” in Buffon’s needle problem. Constructing a square with the same area as a given circle using a straightedge and compass is impossible because this number is transcendental. To convert from radians to degrees, multiply by 180 and divide by this number. This number equals the ratio of circumference to diameter for any circle. Name this irrational number equal to about 3.14.",pi [do not accept approximations such as “3.14”]
