Question,Answer
"These stars are in luminosity class 2 or 3, which means that their absolute magnitudes are usually slightly below zero. Most, but not all, carbon stars are the cool type of this star. Arcturus [ark-TUR-uss] and Aldebaran [al-DEB-uh-run] are both this type of star, and the closest example to us is Pollux. The word describing this type of star is sometimes prefixed by “sub-” or “super-” to describe stars of different sizes that are also in the top half of the Hertzsprung–Russell diagram. In the future, it is likely that our Sun will likely spend about 1 billion years as a red star of this type. Name these stars that are larger than main sequence stars.",giants [or giant stars; accept more specific answers such as red giants; do not accept “supergiant” or “subgiant”]
This U.S. president stated “An attempt by any outside force to gain control of the Persian Gulf region will be regarded as an assault on the vital interests of the United States.” This president was criticized for his grain embargo against the Soviet Union and for boycotting the Moscow Olympics. This president helped negotiate the Camp David Accords between Israel and Egypt. The Iran hostage crisis took place during his presidency. Name this president who unsuccessfully ran for re-election in 1980 against Ronald Reagan.,(James Earl) “Jimmy” Carter (Jr.)
"The narrator of this novel claims that he has trouble paying attention to a magistrate because “the oﬀice was so stiflingly hot and big flies were buzzing round and settling on my cheeks.” The magistrate in this novel had taken a silver crucifix from a file cabinet and asked the narrator “Do you know who this is?”. Just before that, the magistrate had asked this novel’s narrator “Why did you pause between the first and second shot?”. Earlier, this novel’s protagonist began a relationship with Marie just after his mother’s funeral. The narrator of this novel kills a man he refers to as “the Arab”. Name this existentialist novel about Meursault [mair-sohl] written by Albert Camus [al-bair ka-moo].",The Stranger [or The Outsider or L’Étranger]
Some of the impacts of this agreement were addressed by the formation of the Commission for Environmental Cooperation. This agreement extended an agreement that the United States had negotiated earlier with Brian Mulroney because this deal was also negotiated with Carlos Salinas [suh-LEE-nus] de Gortari. The phrase “giant sucking sound” was used by Ross Perot [puh-roh] to build opposition to this agreement. Name this agreement supported by Presidents George H. W. Bush and Bill Clinton that made it easier for the United States to import and export goods with Canada and Mexico.,NAFTA or the North American Free Trade Agreement
"This person is the namesake of the win-stay/lose-shift strategy in the iterated [IT-er-ay-tid] prisoner’s dilemma. Work started by Anatol Rapoport classifies rhetorical strategies as belonging to this person, Sigmund Freud, or Carl Rogers. This person studied so-called “psychic secretions” by surgeries that moved certain body fluids outside of animals’ bodies. This person is credited for developing the theory of classical conditioning. This person won the 1904 Nobel Prize for Physiology or Medicine “in recognition of his work on the physiology of digestion”, making him the first Russian laureate. Name this scientist who was able use a noise to get dogs to salivate.",Ivan (Petrovich) Pavlov [prompt on Pavlovian]
"This inner organ is connected to the urachus [YUR-uh-kuss] during fetal development. This organ is examined during a cystoscopy [siss-TAH-skuh-pee]. Much of this organ is lined by detrusor [dih-TROO-zur] muscle, and the lower part of this organ has a triangular region called the vesical trigone [“TRY”-gahn] that has stretch receptors. The ureters [YUR-uh-turz] lead to this organ, and the urethra [yuh-REETH-ruh] leads away from it. In pregnant women, the top of this organ is pushed down by the uterus, and in old men the bottom of this organ is pushed up by the prostate, which explains why some people need to use the bathroom often. Name this hollow organ that stores urine.",(urinary) bladder
"This color is used for both the sling and the sombrero, in contrast to the pink and purple load being carried, in Diego Rivera’s painting The Flower Carrier. Vincent van Gogh’s Café Terrace at Night features a large lantern of this color that makes the main building look this color. Paul Gauguin [goh-gan] made one painting titled The Green Christ and another painting of Christ in this color. One of the pigments of this color uses lead [led] chromate, and one of the shades of this color is called “canary”. Name this color whose chrome pigment is used to color school buses.",yellow
"One statue of this goddess shows her with one foot on a tortoise and is associated with her epithet Urania [yoo-RAY-nee-ah]. This goddess has a golden chariot that was pulled by either sparrows or doves. This goddess plays a central role in the founding myth of the city of Paphos [PAH-fohss], which is supposedly named for the daughter of Galatea [gal-uh-TAY-uh]. This goddess changed a statue into Galatea in response to a wish from Pygmalion [pig-MAY-lee-un]. This goddess was given the golden apple because she promised Paris the most beautiful woman in the world. Name this equivalent of Ishtar and Inanna, the Greek goddess of beauty and love.",Aphrodite [accept Venus before “Greek”]
"This theory inspired the tachyonic anti-telephone [tak-ee-AH-nik “anti-telephone”] thought experiment in which a message is sent to the past. This theory explained a thought experiment in which a train is hit by two bolts of lightning but there is disagreement as to whether the bolts were simultaneous. This theory uses Minkowski space, which is why some of its basic equations use Lorentz transformations. The two postulates of this theory are that the speed of light in a vacuum is the same for all observers and that the laws of physics are the same in all inertial reference frames. Name this theory that was later augmented by a “general” theory of gravitation, both of which were developed by Albert Einstein.",theory of special relativity [or special theory of relativity or special relativity theory; prompt on relativity]
"During this war, the Battle of White Mountain was a loss for Christian of Anhalt and led to the abdication of a king whose rule was so short that he was nicknamed “the Winter King”. At the beginning of this war, that king—Frederick V of the Palatinate [puh-LAT-ih-nit]—replaced Ferdinand II as the king of Bohemia. Later during this war, Albrecht von Wallenstein was victorious at the Battle of Lützen [LOOT-zen], defeating a Swedish–German army and killing Gustavus [goo-STAH-vus] Adolphus. The treaties signed at Osnabrück and Münster at the end of this war formed the Peace of Westphalia [“west”-FAY-lee-uh]. Name this war that was fought from 1618 to 1648.",Thirty Years’ War
"The example of these mathematical figures named for Henri Brocard [awn-ree broh-kar] is found using the first and second Brocard points. Three of these figures named for Leonhard Euler [LEN-urd OY-lur] are used to give the orientation of an object. Spherical coordinates use two of these figures, but cylindrical coordinates only use one. Two of these figures are called “co-terminal” if they have a common terminal side, meaning they go to the same point on the unit circle. Measures of these figures are the inputs to trigonometric functions. These figures are formed by two rays from a common endpoint. Name these figures that can be measured using a protractor in radians or degrees.",angles
