Question,Answer
"One poem by this writer begins with the phrase “Pine trees of old” and goes on to describe the building of the ship Argo and the relationship between Peleus [PELL-ee-uss] and Thetis [THEE-tiss]. Another poem by this writer states “I hate and I love. Why I do this, perhaps you ask. I know not, but I feel it happening and I am tortured.” Though one of this writer’s poems is about a stolen napkin, most of his invective poems are explicitly sexual. Many of this poet’s works are about a married woman whose real name was Clodia and who had an affair with this poet. Name this ancient Roman poet who wrote the Lesbia poems.",(Gaius Valerius) Catullus [kuh-TUL-uss]
"This person was the mayor of Panama City from 1519 to 1523. From there, this person got support from Hernando de Luque [LOO-kay] and Diego de Almagro, though after running into hardship this person continued on as the leader of the Famous Thirteen. This person ordered his best-known attack after Vincente de Valverde told him about somebody throwing a Bible on the ground and refusing to accept Charles V as his sovereign. Along with his half-brother Hernando [air-NAHN-doh], this person was successful at the Battle of Cajamarca [kah-hah-MAR-kah], which is where Atahualpa [ah-tah-WAHL-pah] was captured. Name this leader of the Spanish conquest of Peru who defeated the Incan Empire.",Francisco Pizarro (González)
"Henry Ernest Dudeney showed that four pieces of an equilateral triangle could be arranged into this shape. The group of symmetries of this type of quadrilateral is a dihedral [“die”-HEE-drul] group. This is the most specific name for the shape of the graph of the equation “the absolute value of x, end quantity, plus the absolute value of y, end quantity, equals one”. In this type of quadrilateral, the diagonals are both congruent and perpendicular bisectors of each other. This shape is a regular quadrilateral. Name this quadrilateral that has both four congruent sides and four congruent angles.",squares [prompt on regular quadrilateral]
"This person told a messenger “Don’t let this upset you; the sword devours one as well as another.” That message was sent from this person to Joab after this person played a role in the death of Uriah [yur-“EYE”-uh] the Hittite. Joab would eventually help kill this person’s third son after that son rebelled against this person. That son, born after Amnon and Daniel, was Absalom. This leader was the son of Jesse and the great-grandson of Ruth and Boaz. This person was friends with Saul’s son Jonathan and was the King of Israel between Saul and Solomon. Name this person who used his sling to kill Goliath.",David [may be pronounced [dah-VEED]]
"In the beginning of this writer’s memoir, he uses straws from a broom to light a curtain on fire, causing his grandmother’s house to burn. This author then recounts moving to Memphis and Chicago, where he works with members of the Communist Party. In a novel by this author, the protagonist is eventually helped by the Communist lawyer Boris Max after trying to frame a Communist named Jan for the death of Mary Dalton. Mary was killed and decapitated by this author’s protagonist Bigger Thomas. Name this author of Black Boy and Native Son.",Richard (Nathaniel) Wright
"To study this disease, the chemical MPTP is sometimes given to animals. Like some forms of dementia, this disease is characterized by the aggregations of proteins in neurons, and those growths are called Lewy [LOO-ee] bodies. The symptoms of this disease can be reduced by taking monoamine oxidase-B [mah-noh-uh-MEEN “ox-id-ace B”] inhibitors, COMT inhibitors, amantadine [uh-MAN-tuh-deen], and levodopa [lev-uh-DOH-puh]. This disease involves degeneration of the nerve cells in the basal ganglia [“GAIN-glee-uh”], which decreases the amount of dopamine [“DOPE”-uh-meen]. Name this degenerative disorder characterized by slow movement and tremors.",Parkinson’s disease [accept Parkinsonism; prompt on PD ]
"This person successfully led troops at the Battles of Palo Alto and Resaca [ray-SAH-kuh] de la Palma. After many of his troops were transferred to a different commander, this person built a defensive position that allowed him to repel a large force at the Battle of Buena Vista, stopping an advance by Antonio López de Santa Anna. As a politician, this person antagonized southerners by encouraging California and New Mexico to apply for statehood. This person’s political career was cut short possibly because he ate contaminated fruit or milk. Name this president who was nicknamed “Old Rough and Ready” and was replaced by Millard Fillmore when he died in oﬀice.",Zachary Taylor
"One material that takes advantage of this phenomenon is polyvinyl alcohol plastic that has been doped with iodine. Because cordierite [KOR-dee-uh-“rite”] enhances this phenomenon, it can be used to locate the Sun when the Sun is hidden. An angle used for this phenomenon equals the arctangent of the ratio of indices of refraction. This phenomenon exists when a transverse wave lacks rotational symmetry. Intensity is multiplied by the squared cosine of an angle to quantify this phenomenon in Malus’s law. Name this phenomenon caused by reflection at Brewster’s angle, in which a transverse wave vibrates in a single direction.",(linear) polarization [accept polarized or polarizing]
"In one painting by this artist, an old man wearing green [pause] deposits coins into a sack held by a demon inside a trunk, and a white version of Death enters the room through a door while holding an arrow. That painting is this artist’s Death and the Miser. In another painting by this artist, a monk and a nun both try to take a bite out of a suspended crepe. Another work by this painter shows God presenting Eve to Adam on the left and shows nightmarish creatures including a pair of ears brandishing a knife on the right. Name this Dutch painter of Ship of Fools and The Garden of Earthly Delights.",Hieronymus Bosch [or Jheronimus van Aken]
"This person worked with Matt Grove to start the company Equality Vines. This person’s husband suffered from ALS and died three months after they got married. Because John Arthur was so ill, this person’s wedding took place on a plane tarmac in Maryland. When this person was denied death benefits, he sued Ohio Governor John Kasich [KAY-sik], but the defendant was changed to the director of the Ohio Department of Health. This person is now friendly with that defendant, Richard Hodges, and he won that case at the Supreme Court in 2015. Name this plaintiff in the case that federally established the right to marry for same-sex couples.",James “Jim” Obergefell [OH-bur-guh-fell]
"This number is the smallest prime number p for which one less than the quantity “2 raised to the power of p” is not prime. To test for divisibility by this number, add every other digit, then add all the other digits, and check whether the difference is divisible by this number. Rows in Pascal’s triangle equal the digits of powers of this number once you correct for carrying. If this number is multiplied by a one-digit number, then the product is a two-digit number with both digits the same. Name this prime number between 7 and 13.",1
