Question,Answer
"The species name of Euophrys omnisuperstes [yoo-FREEZ ahm-nee-SOO-pur-steez] was given because they live on these features. These features also create a good living environment for Dall sheep and bighorn sheep, which have concave elastic hooves. The process that creates these features is orogeny [or-AH-jeh-nee], which takes place at convergent plate margins. That process usually creates the folded type of these features, which are larger than the upwarped or dome type caused by magma that does not burst. Some of these features are volcanos. Name these large steep features that often occur in ranges such as the Rockies or the Himalayas.",mountains [prompt on mounts]
"The reverse program to this program included the use of luxury superliner ships. This program received Congressional approval despite testimony against it by Charles Lindbergh. This program was a strengthening of the Cash and Carry program, and it ended several Neutrality Acts. Under the leadership of Harry Hopkins, this program was expanded to help several countries, including the Soviet Union. Opponents of this program warned that it would get the United States involved in a major war, which did in fact happen. Name this program by which the United States sent supplies and equipment to the Allies, often on a temporary basis, during World War II.",Lend–Lease Program [or Lend–Lease Act]
The tangent of the quantity “[this number] times theta” equals sine theta divided by the quantity 1 plus cosine theta. The Riemann [REE-mahn] hypothesis states that every zero of the Riemann zeta function is a negative even integer or a complex number with this number as the real part. This number is multiplied by the perimeter and apothem [AP-uh-thum] length of a polygon to find the area. The sum of the base lengths of a trapezoid are multiplied by this number and the height to find the area. This number is multiplied by the product of the base and height of a triangle to find the area. Name this number between 0 and 1.,one-half [accept 0.5]
"In a play by this writer, the title character says “Go baffled coward, lest I run upon thee” to Harapha of Gath. This writer ended that play with reports that the title character has destroyed a temple. In a poem by this writer, he says his goal is to “assert eternal providence, and justify the ways of God to men”. In that poem, this writer described Pandemonium as the capital of Tartarus, which is where the fallen angels are led by Satan. In that epic poem, this writer described Adam and Eve being removed from the Garden of Eden. Name this English writer of Samson Agonistes [ag-un-ISS-teez] and Paradise Lost.",John Milton
"Banksy made a Mujahideen [moo-jah-hih-DEEN] version of this painting by adding a rocket launcher to it. One of the legacies of the Incoherents, a late-19th-century art movement, is Sapeck’s [SAH-pek’z] version of this painting with a pipe and smoke rings. Another version of this painting has a name that is a five-letter abbreviation and incorporates a mustache. The fame of this painting grew in the early 20th century after an Italian man stole it because he did not want it to stay in France. Name this painting that is parodied in Marcel Duchamp’s [doo-sham’z] L.H.O.O.Q. [el ahsh oh oh koo] that is in the Louvre and was painted by Leonardo da Vinci.","Mona Lisa [or La Gioconda or La Joconde or Portrait of Lisa Gherardini, wife of Francesco del Giocondo]"
"This god caused earthquakes by writhing in pain because of poison dripping from a snake while he was bound by the entrails of his son Nari. The poison was collected and removed by this god’s wife, Sigyn [SIG-in]. This god attempted an escape shortly after burning his fishing net and changing himself into a salmon. This god trades insults with the other gods, but he eventually stops because he is afraid of Thor. This god gave a weapon to Hodur that was made of mistletoe, causing the death of Balder. This god is the father of Jörmungandr [YOR-mun-GAHN-dur] and the mother of Sleipnir [SLAYP-neer]. Name this trickster god from Norse mythology.",Loki [LOH-kee]
"At the beginning of one play by this writer, a woman brings her husband corn flakes, but the next day they are out of corn flakes. This writer has the husband receive a drum as a gift, but he trips over the drum, and the drum is then thrown in the fireplace. In another play by this writer, the two characters discuss an 87-year-old man who was killed when he tried crawling under a truck. In that play, the title device has a speaking tube that is used by Ben and Gus, who are hit men. Name this English playwright who wrote The Birthday Party and The Dumb Waiter.",Harold Pinter
"Back when radium paint was used to make luminous watches, the sulfide of this element was typically used with the paint. An ion of this element is central to both carbonic anhydrase [“an-HIDE-race”] and alcohol dehydrogenase [dee-“hi”-DRAH-juhn-“ace”]. This metal is in the calamine [KAL-uh-“mine”] mineral, which contains both its carbonate and its silicate [SILL-ih-“Kate”]. The pyrithione [pir-ih-THY-ohn] of this element is used to treat skin conditions, including dandruff. To prevent the rusting of steel or iron, a coating of this element is applied, which is called galvanization. This element usually makes up about one-third of brass, with most of the rest being copper. Name this metal whose atomic symbol is “Zn”.",zinc [accept Zn before the end]
"A 1993 U.S. law is named for the restoration of freedom with respect to this concept, and that law was applied to the 2014 Burwell v. Hobby Lobby decision. The principal effect of a law can neither aid nor inhibit this concept according to the U.S. Supreme Court’s Lemon test, which also prevents excessive entanglement between government and this concept. Article 6 of the U.S. Constitution bans tests using this concept as a qualification for any oﬀice. The First Amendment of the Constitution states “Congress shall make no law respecting an establishment of” this concept. Name this concept that is supposed to be separated from government, despite the national motto “In God We Trust.”",religion [accept religious; prompt on church or God]
"This character gives the advice to move to Morocco where there are orangutans living in bushes after hearing a speech from Huhu. That occurs shortly after Dr. Begriffenfeldt finds this character talking to the Sphinx. Much earlier, this character takes Ingrid away from her wedding but then tells her to go away. That occurs after Solveig [SOHL-vay] refuses to dance with this man. Even earlier, this character exaggerates a story about a deer hunt. At another point, this character is asked “What is the difference between troll and man?” by the Troll Mountain King. Name this title character of a play by Henrik Ibsen.",Peer Gynt [accept either]
"A polynomial-time verifier can be used on the probabilistically checkable types of these things. Computer-assisted examples of these things were very controversial when first used in the 1970s, including one by Kenneth Appel and Wolfgang Haken [HAH-kun] for the four-color theorem. One type of these things begins with a basis step and then assumes that a statement is true for a certain case as part of its inductive step. Postulates and axioms are accepted as true without these things, but mathematical theorems are supported by these things. Name these things that, in high school geometry classes, are often written using two columns.",mathematical proofs
