Question,Answer
"During the last 10 days of the year, members of this religion honor the dead by celebrating Frawardigan [fruh-war-dee-GAHN]. The six feasts in this religion that do not happen on the new year are the gahanbars [guh-HAHN-barz]. When approaching adulthood, members of this religion are given a sudreh [SUH-druh] and kushti [KUSH-tee], which are a sacred shirt and cord used to remember the creed “Good Words, Good Thoughts, and Good Deeds.” The 17 hymns attributed to the founder of this religion are the Gathas [GAH-thuz]. Members of this religion worship Ahura Mazda and read the Avesta. Name this monotheistic religion that started in what is now Iran about 3500 years ago.",Zoroastrianism
"This structure contains polysaccharides [“poly-SACK-uh-rides”] that are arranged into hexagonal rosettes that can spin. This structure often contains a lot of xylan [ZY-lan]. The primary compound in these structures is also the primary compound in cotton. The outer layer of these things contain many pectins and are called the middle lamella [luh-MEL-luh]. In wood and bark, these structures contain lignin [LIG-nin]. The ability of these structures to prevent outflow allows for the build-up of turgor pressure. Name these structures that do not exist in animals but that are the outermost part of plant cells.",cell walls
"After being fired from this state’s supreme court for opposing Reconstruction, Richard Coke became its governor and one of its U.S. senators. The Iran-Contra investigation ordered by President Ronald Reagan was headed by this state’s former senator John Tower. The 1988 running mate of Michael Dukakis [doo-KAH-kis] was this state’s Senator Lloyd Bentsen. The Senate Majority Leader for most of the late 1950s, who was the subject of a set of biographies by Robert Caro [KAY-roh] and who left the Senate to become vice president, was this state’s Lyndon B. Johnson. Name this state represented in the Senate more recently by John Cornyn and Ted Cruz.",Texas
"One poem by this writer states “Ill fares the land, to hastening ills a prey, where wealth accumulates, and men decay.” This writer began that poem with the words “Sweet Auburn” addressed to the title location. In a novel by this author, Mr. Jenkinson adds to the misery of the protagonist by making him think that Olivia is dead, and several of the characters are surprised to learn that Olivia’s marriage to Squire Thornhill is valid. This author wrote that novel about the bankruptcy of Charles Primrose. Name this 18th-century Anglo–Irish writer of The Deserted Village and The Vicar of Wakefield.",Oliver Goldsmith
"This country is the location of Chisanga Falls, which is in the eastern part of Nyika [NEE-kuh] National Park. Some ancient history of this country’s Chewa people is recorded in the Chongoni [chon-GOH-nee] Rock Art Area. This country contains the Viphya [VIFF-yuh] Mountains, which surround the city of Mzuzu [em-ZOO-zoo]. The south part of this country includes most of Lake Chilwa and the city of Blantyre [BLAN-“tire”]. The north half of this country is between Zambia and Tanzania [TAN-zuh-nee-uh], and the south half of this country is surrounded by Mozambique. The lake that shares its name with this country is also called Lake Nyasa [NY-ah-suh]. Name this country whose capital is Lilongwe [lih-LAWN-gway].",(Republic of) Malawi [or (Dziko la) Malawi]
"In southern France, an attempt to take advantage of this process is being built, called ITER [EE-tur]. This process releases energy for elements with a lower atomic number than nickel. The magnetic confinement type of this process confines plasma in the shape of a torus by using a tokamak [TOH-kuh-mak]. This process was not used in Little Boy or Fat Man, but it is used in thermonuclear weapons, which used to be called hydrogen bombs. Two very common examples of this reaction are the CNO cycle and the proton-proton chain reaction in stars. Name this type of reaction in which two nuclei are combined.",nuclear fusion (reaction) [prompt on nuclear reaction before “Little Boy”; do not accept “fission”]
"One poem by this writer begins “I saw him once before, as he passed by the door.” That poem, which ends with the narrator hoping that people will smile if he lives as long as the poem’s subject, is “The Last Leaf”. Another poem by this writer states “Thanks for the heavenly message brought by thee, child of the wandering sea.” This poet began the last stanza of that poem with the lines “Build thee more stately mansions, O my soul, As the swift seasons roll!”. Another poem by this writer, which begins “Aye tear her tattered ensign down, Long has it waved on high”, is sometimes credited for preventing a famous ship from being decommissioned. Name this poet who wrote “The Chambered Nautilus” and “Old Ironsides”.",Oliver Wendell Holmes Sr.
"This person was named after the tyrant of Sicyon [SISS-ee-ahn], who was his maternal grandfather. Cleomenes [klee-AH-muh-neez] I of Sparta helped Isagoras [“eye”-SAG-uh-russ] take control from this leader, but this leader had enough popular support to allow him to gain back power after returning from exile. This ruler replaced the four-tribe system that was based on family with a 10-tribe system based on location. According to Aristotle, this ruler instituted the Athenian policy of ostracism. This leader, who extended the democratic reforms of Solon [SOH-lun], was the great uncle of Pericles. Name this “father of Athenian democracy”.",Cleisthenes
"The distance matrix named for this person has zeroes along the main diagonal and squares of differences everywhere else. The type of inner product named for this person is equivalent to the dot product. A statement called “[this person’s] lemma” or “[this person’s] theorem” states that if a prime number divides a product, then it divides at least one of the factors. Another statement called “[this person’s] theorem” is that there are infinitely many prime numbers. This person’s parallel postulate is assumed in the forms of geometry named for him. Name this ancient Greek mathematician who wrote the Elements.",Euclid [YOOK-lid] (of Alexandria)
"This instrument is the lead instrument in a set of pieces broken down into five “Joyful Mysteries”, five “Sorrowful Mysteries”, and five “Glorious Mysteries”. Those pieces for this instrument, sometimes called the Copper-Engraving Sonatas or Rosary Sonatas, are by Heinrich Biber [BEE-bur]. Pablo de Sarasate performed on this instrument, which is not an organ, for the premiere of Introduction and Rondo Capriccioso [kah-pree-CHOH-zoh] by Camille Saint-Saëns [san sawn]. Sarah Chang, Hilary Hahn, and Joshua Bell primarily play this instrument. A standard string quartet has two of these instruments. Name this string instrument pitched higher than the viola.",violin
"One way to evaluate this function on x is to make segments of lengths x and one, combine them to make the diameter of a circle, then drop a perpendicular from the circle to where those segments are joined. In the normal distribution function, this function is applied to 2 pi in the denominator. Applying this function is the last step to finding the quadratic mean or to finding the standard deviation of a set of numbers. To find the geometric mean of two numbers, apply this function to their product. The graph of this function of x is half of a rightward-opening parabola. Name this function equivalent to raising to the one-half power.","square root [prompt on radical; before “one-half”, accept raising to the one-half power or raising to the one-half; accept answers that additionally mention x]"
