Question,Answer
"Since 2018, attempts to control the cost of this program have included BPCI Advanced, which is a bundled payment system. The CHIP Reauthorization Act of 2015 included the Permanent Doc Fix change to this program. Some people are able to pay for fitness memberships by going through this program’s Advantage program, which allows people to receive the benefits of this program through a private company. Since 2006, this program’s Part D has covered many self-administered prescription drugs. Name this program that primarily provides health insurance to senior citizens.",Medicare [do not accept “Medicaid”]
"This scientist’s wife, Marie Anne Paulze, translated several works from English for him and made drawings that helped popularize his work. This person studied the masses involved in the burning of phosphorus and sulfur. This person wrote “Nothing is lost, nothing is created, everything is transformed”, which is a statement of the conversation of mass, which he demonstrated. This chemist’s demonstrations of the importance of oxygen played a major role in disproving phlogiston [floh-JISS-tun] theory. Name this scientist who was guillotined during the French Revolution and is sometimes called the father of modern chemistry.",Antoine(-Laurent de) Lavoisier [an-twahn lah-vwah-zee-ay]
"One work by this artist shows a truncated triangular trapezohedron [truh-PEE-zoh-HEE-drun] to the left of a ladder and winged child. The main character in that work by this artist is a winged woman in the lower right corner, whose head rests in her hand. In another work by this artist, one of the characters is a corpse holding up an hourglass and riding a horse. Another character in the same work by this artist has a goat’s head. Those works are Melencolia I and Knight, Death and the Devil. Name this early 16th-century German painter and printmaker who made several engravings.",Albrecht Dürer
"One poem by this writer ends with the line “Till human voices wake us, and we drown.” Earlier in the same poem, this poet asks both “Do I dare disturb the universe?” and “Do I dare to eat a peach?”. Another poem by this writer has the second line “We are the stuffed men.” This poet ended that work “This is the way the world ends, not with a bang but a whimper.” Another poem by this writer was reduced in size based on suggestions by Ezra Pound. That poem’s first section, The Burial of the Dead, begins “April is the cruellest month.” Name this poet who wrote “The Love Song of J. Alfred Prufrock”, “The Hollow Men”, and “The Waste Land”.",T(homas) S(tearns) Eliot
"Based on his early war experiences, this person wrote the tactical book Infantry Attacks. This person often worked closely with Italo Gariboldi, who supported this person during Operation Sunflower. American Lloyd Fredendall [FREH-dun-dahl] was relieved from his command after being soundly defeated by this field marshal at the Battle of Kasserine [KASS-uh-rin] Pass. This person eventually committed suicide via cyanide pill to avoid a public trial following the 20 July plot. After the war, German writers promoted the reputation of the Wehrmacht [VAIR-mahkt] by pointing to this person’s opposition to Adolf Hitler. Name this Nazi Germany Army leader known as “the Desert Fox”.",(Johannes) Erwin (Eugen) Rommel
"This crop is used to make the protein zein [ZEE-in], which is used in confectioner’s glaze. This crop is not citrus, but it and molasses are the primary industrial sources of citric acid. A genetically modified version of this crop, which was only approved for animal feed but found in human food, was called Starlink. This crop is used to make the additive in E10 gasoline, which is called this crop’s ethanol. This crop is Illinois’ top agricultural commodity. A combine that harvests this crop collects the ears but not the stalks, and it then separates the husks, kernels, and cob. Name this crop also known as maize.",corn [accept maize before the end]
"One novel by this author begins with Justice Wargrave thinking about the rumors about Indian Island. In that novel, this author then describes several guests arriving, but not the hosts, Ulick Norman Owen and Una Nancy Owen. In another novel by this author, Evelyn Howard and Alfred Inglethorp pretend to be enemies. That novel by this author takes an unexpected turn after Alfred seemingly wants to get arrested. This author also wrote a very long-running play that ends with the audience being asked to not reveal the ending. Name this author of And Then There Were None who introduced Hercule Poirot [air-kyool pwah-roh] in The Mysterious Affair at Styles and wrote The Mousetrap.","Agatha (Mary Clarissa) Christie (Miller, Lady Mallowan) [accept any underlined name]"
"The impedance of these circuit elements varies inversely with frequency. If one of these elements is placed in a direct-current circuit, then the current of the circuit will decay exponentially. Putting these elements in parallel can be described by a similar equation to the one for resistors in series, and vice versa. The strength of these elements can be increased by using a dielectric [“die-electric”] and is measured in farads [FAIR-adz]. In a circuit diagram, this element is represented by two congruent parallel segments. Name this element that stores electrical energy, often using two parallel plates.",capacitors
"This city was the site of the Massacre of the Citadel, which allowed Muhammad Ali to end the influence of the Mamluk Sultanate. The Palestine Liberation Organization was created in this city in 1964; the meetings took place in this city because it is the headquarters of the Arab League. Members of the group Islamic Jihad assassinated Anwar Sadat [suh-DAHT] in this city. In 2011, protests in this city’s Tahrir [TAH-reer] Square led to the resignation of Hosni Mubarak [moo-BAR-uk], who led the country of which this city is the capital. This city is next to the ancient cities of Heliopolis [hee-lee-AH-puh-liss], Memphis, and Giza [GHEE-zuh]. Name this city that is the capital of Egypt.","Cairo, Egypt"
"If this operation is performed on the first n positive integers, the sum of the results is n squared times the quantity n plus 1 squared over 4. If this operation is performed on both x and y and the results are added, the sum equals x plus y, end quantity, times the quantity x squared minus xy plus y squared. The derivative of this operation on x equals 3 x squared. Name this operation that is performed to the variable in a polynomial of degree 3.","cubing [accept cubed or raised to the 3rd power or raised to the 3rd power, including with verb forms of “raise(d)”; accept answers that additionally specify n or x]"
