Question,Answer
"Several of these objects are shown in the upper half of Childe Hassam’s [“child” HAS-um’z] The Avenue in the Rain, which hangs in the Oval Oﬀice. The handling of these objects is shown in the most famous photographs by both Yevgeny Khaldei and Joe Rosenthal, both of which were taken in 1945. In 1954, two years after being discharged by the U.S. Army, an American artist painted a series of these objects, including a white one and an image combining three of them. That painter was Jasper Johns. Name this object that is held high by a woman in the Eugène Delacroix [oo-zhen deh-lah-kwah] painting Liberty Leading the People.",flags [accept United States flags before “Delacroix”; accept flagpoles before “three of them”]
"Without making any references to a magical ring, this ancient writer described Gyges [“GUY”-jeez] killing Candaules [kahn-DAW-leez] at the urging of Candaules’s wife. According to this person, people on one side of the conflict he described claim that the conflict began when Io [“EYE-oh”], the daughter of Inachus [ee-NAH-kuss], was taken to Egypt. After this person died, his work was divided into nine sections named for the Muses. This person described the battles of Plataea [pluh-TEE-uh], Thermopylae [thur-MAH-puh-lee], and Marathon, and he also described the Persian Empire. Name this scholar from Halicarnassus who was referred to by Cicero as “The Father of History”.",Herodotus [heh-RAH-dih-tuss]
"This cabinet-level department oversees the Fostering Access, Rights, and Equity grant program through the United States Women’s Bureau. This department’s bureau of statistics publishes the Consumer Price Index and unemployment rate. Several laws that protect whistleblowers are overseen by this department’s Occupational Safety and Health Administration. This department is headquartered in the Frances Perkins Building. Name this department that has a Benefits Review Board and an Employee Benefits Security Administration, and which is responsible for overseeing regulations regarding jobs.",United States Department of Labor [accept Labor Department; prompt on DoL]
"This person wrote “You built for them a temple in hearing” as the last line in the first poem in his collection of 55 sonnets. This person wrote the advice “Nobody can advise you and help you, nobody” in a letter to Franz Xaver Kappus that was published in a collection after this person died. This poet wrote “Every angel is terrifying” in a collection that was delayed by this writer’s service in World War I. In that work, this poet asks “Who, if I cried out, would hear me among the Angelic Orders?”. This poet wrote that poem in a castle near the Adriatic Sea. Name this writer of Letters to a Young Poet, Sonnets to Orpheus, and the Duino Elegies.",(René Karl Wilhelm Johann Josef) Rainer Maria Rilke
"Richard Feynman [“FINE”-mun] stated that nobody has ever defined the difference between this effect and diffraction satisfactorily. The colorful patterns that form on soap bubbles are caused by the thin-film type of this effect. This effect is a direct result of the superposition principle. The fringes in Young’s double-slit experiment are named for this phenomenon. This phenomenon can be constructive or destructive, both of which can be seen in a common experiment in which there are two point sources in a wave pool. Name this effect in which waves combine.",(wave) interference [accept waves interfering]
"One of these speeches proposed a Second Bill of Rights to guarantee employment and housing. Another of these speeches was about party primaries and criticized people who repeatedly demanded a “restoration of confidence”. The last of these speeches addressed the opening of the Fifth War Loan Drive, and it consisted of an urge to buy war bonds. There were thirty of these speeches spread out over 11 years, though there is a common mistaken perception that these speeches happened weekly. These speeches often began “My friends” or “My fellow Americans”, and they were spoken directly to the American people. Name these radio addresses given by Franklin Roosevelt.",fireside chats [accept additional information mentioning Franklin Delano Roosevelt or FDR]
"After oxygen, hydrogen, chlorine, and sodium, this is the fifth-most abundant element in seawater. This element combines with hydroxide to form brucite [BROO-“site”], it combines with iron and silicate [SIH-lih-kut] to form olivine [AH-luh-veen], and it combines with calcium and carbonate to form dolomite [DOH-luh-“might”]. Periclase [PAIR-uh-klayss], which is very abundant in the Earth’s crust, is a mineral consisting of this element’s oxide. The sulfate of this element is hydrated to make Epsom salts. Brucite is used to make a common antacid called the “milk of” this element’s oxide. Name this alkaline-earth metal located below beryllium [buh-RILL-ee-um] and above calcium on the periodic table.",magnesium [accept Mg]
"In one novel by this author, a man says of his son, “If he is not the word of God, God never spoke.” In much of that novel, this author depicts the man and his son traveling with a supermarket cart and trying to avoid cannibals. In another novel by this author, the sheriff of Terrell County is a World War II veteran who tries to protect Carla Jean. That sheriff is Ed Tom Bell, and in a novel by this author, Bell protects Carla Jean after her husband Anton Chigurh [chih-GUR] finds the aftermath of a drug deal gone bad in the Texas desert. Name this author of The Road and No Country for Old Men.",(Charles) Cormac McCarthy (Jr.)
"This U.S. law led to the creation of State Implementation Plans and New Source Performance Standards. The original version of this law in 1963 was enforced by the Public Health Service and the Department of Health, Education, and Welfare, but a new agency was created to enforce this law before its major expansion in 1970. After that expansion, William Ruckelshaus directed much of this law’s enforcement against the auto industry. A 1990 expansion of this law addressed acid rain. Name this law administered by the Environmental Protection Agency that now addresses ozone layer protection and climate change.",Clean Air Act [accept CAA]
"Animals in this class have a layer of uncalcified dentine [DEN-tin] in their teeth, so their teeth are considered pedicellate [peh-duh-SELL-it]. Some animals in this class have parotoid [puh-RAH-toyd] glands near their neck that can secrete bufotoxins [byoo-foh-“toxins”] to deter predators. Most of these animals will die within a few hours if they are placed in saltwater but require a freshwater environment for breeding. This class of animals are born with gills, though they either develop lungs or the ability to breathe air through their skin. Name this class of vertebrates that includes salamanders and frogs.",amphibians [accept Amphibia]
"An arrangement of numbers named for this solid consists of the coeﬀicients in trinomial [try-NOH-me-ull] expansions. A frustum formed from this solid is a prismatoid, and these solids themselves are classified as prismatoids by allowing one point to define a plane parallel to a face. The number of faces of this solid is n plus 1, and the number of edges is 2n, if n is the number of sides of the base. The surface area of this solid equals the area of the base plus 1/2 times the base perimeter times the slant height. Name this shape that has a polygonal base and an apex, so it can be triangular- or square- based.",pyramids
