Question,Answer
"In a novel by this author, a teacher leaves town after drunkenly destroying the furniture in Kohler's house, and doctor Howard Archie supports Moonstone native Thea Kronberg's aspirations to be an opera singer. Two immigrants in a novel by this author were banished from their hometown for throwing newlyweds to wolves. The title character of that novel by this writer works as a housekeeper for the (*) Harlings and ultimately has ten children with Anton Cuzak. For 10 points, name this author who wrote about Czech settlers in Nebraska in My Ántonia.",Willa Cather [Willa Sibert Cather ]
"These proteins have varying levels of affinity due to somatic (soh-MAT-ik) hypermutation. Primary and secondary forms of these proteins are used to detect target proteins in a Western blot. The paratope (PAA-ruh-toap) of this kind of protein is unique for one epitope (EP-it-oap), and their interaction works like a (*) lock and key. These proteins are comprised of two heavy chains and two light chains. These proteins have five possible isotopes, and they are produced by B cells. For 10 points, name these Y-shaped proteins that bind to antigens to trigger an immune response.",antibody [or immunoglobulin]
"Left-leaning sympathizers were murdered in this war during the Bodo League Massacre. U.N. Command forces ambushed at a reservoir in this war were later dubbed the “Chosin Few.” The Armistice Agreement that ended this war was signed shortly after Joseph (*) Stalin's death caused a withdrawal of Soviet support. Douglas MacArthur was removed as Supreme Commander during this war due to Harry Truman's decision not to expand fighting into China. For 10 points, name this war that led to the establishment of a demilitarized zone on an Asian peninsula.",Korean War [or Fatherland Liberation War; or Hanguk Jeonjaeng]
"An argument against this process dubs it irrational because belief in a “uniformity principle” is neither demonstrative nor moral. A later objection to this process involves the time-dependent colors “grue” and “bleen.” That “new (*) riddle of” this process builds on an Enlightenment-era objection to this process stating “that the sun will not rise tomorrow” is a valid belief. Nelson Goodman and David Hume questioned the reliability of, for 10 points, what process in which general rules or future events are believed in based on past examples?",induction
"In a painting from this present-day country, a nude torso is to the bottom right of a mechanical elephant. A regime from this country included exhibits such as “The ideal: cretin and whore” in a show that labeled many prominent artists “Degenerate.” An earlier artist from this country often depicted solitary men looking away from the viewer contemplating the landscape, such as in the painting (*) Wanderer Above the Sea of Fog. For 10 points, name this country which was home to Caspar David Friedrich and to the censorship of art by Nazis.",Germany [or Deutschland; or Federal Republic of Germany]
"The word for this type of animal nicknames Ernst Lanzer, whose ordeal involving a package containing a pair of glasses is discussed in the 1909 paper on a “Case of Obsessional Neurosis.” These animals self-administered morphine less when in a social environment in a Bruce Alexander study named for their “park.” The shortening of an (*) alleyway led these animals to make a loud noise in the Kerplunk experiment. John Watson conditioned Baby Albert to fear one of these animals. Psychologists often experiment on, for 10 points, what large rodents?",rats [or Rattus norvegicus; or Rattus norvegicus; or Rat Man; or Rat Park; or white rats; or laboratory rats; or Norway rats; or Norwegian rats]
"This number squared over six is the solution to the Basel problem, which concerns an infinite sum of inverse squares. E raised to this number times i is equal to negative one according to Euler's (OY-lur's) identity. Squaring the circle is an impossible task because this number is (*) transcendental. This number is the period of the tangent function, and this number of radians is equal to 180 degrees. This irrational number is the ratio of a circle's circumference to its diameter. For 10 points, name this number that is approximately equal to 3.14.",pi
"Though this novel was written about 150 years before astronomers discovered the moons of Mars, it mentions those bodies in a passage about people who must be constantly hit with bags of stones to keep focus. This novel describes an enlightened race that have no word for lying, the (*) Houyhnhnms (HWIN-imz). In this book, a debate about the proper way to crack an egg leads to a divide between the Big-Endians and Little-Endians. This novel's main character is viewed as a giant by the Lilliputians (lil-ip-OO-shunz). For 10 points, name this novel by Jonathan Swift.",Gulliver's Travels
"This country's politics were once dominated by the “Generation of '80,” including Julio Roca, who earlier displaced the Mapuche (mah-POO-chay) people during this country's Conquest of the Desert. The 25th article of this country's 1853 constitution promoted European immigration, leading to 60% of this country's present-day population having (*) Italian ancestry. The 1881 Boundary Treaty divided Tierra del Fuego (tee-AIR-ah del FWAY-goh) between this country and a smaller neighbor that shares Patagonia. For 10 points, name this country that has a 3300-mile long border with Chile.",Argentina [or Argentine Republic; or Republica Argentina]
"The former East India Marine Society of this town provided the core of the large Asian art collection at its Peabody Essex Museum. Two novels by Nathaniel Hawthorne were inspired by Captain John Turner's home in this town and by Hawthorne's ancestor serving as a judge here. Bridget Bishop was the first victim of an event in this town, where (*) Betty Parris and Abigail Williams blamed their behavior on the slave Tituba. For 10 points, name this Massachusetts town in which twenty people were executed in the 1690s after accusations of witchcraft.","Salem, Massachusetts"
